course_name,course_slug,course_technology,course_description,course_topic,course_description_short
Python Programmer Bootcamp,python-programmer-bootcamp,python,"This Python course will not only take your programming skills to the next level, but also give you a problem-solving superpower! In it, you will develop a thorough understanding of Python and its programming capabilities, as well as hone your computational thinking. Moreover, you will learn how to implement object-oriented programming (OOP), create Python charts in Matplotlib, and work with different IDEs like Spyder and Jupyter. As you progress , you’ll get to practice your skills with fun and challenging exercises like solving the Sierpinski Triangle and the Towers of Hanoi. Your instructor, Giles McMullen-Klein, is an Oxford-educated programmer who made proficient use of Python during his time at the University. Not only that but he is motivating, enthusiastic, and truly passionate about the programming language he teaches!",programming,Developing your programming skills in Python and teaching you how to solve problems by thinking computationally.
SQL + Tableau + Python,sql-tableau-python,python,"While Python is the leading programming language for data science, SQL is unmatched when it comes to relational database management. Tableau, on the other hand, is a leading business intelligence software, providing tools for quick computations and rich visualizations. This course will show you how to combine these software products to solve real-life business problems.",programming,"Building on your SQL + Tableau expertise, this course provides you with the skills to do complex preprocessing and agile real-time machine learning."
Introduction to Jupyter,introduction-to-jupyter,python,"One of the most widely used coding environments for programming in Python, R, or Julia today is Jupyter. It is extremely intuitive and has been built to accommodate the needs of both beginner and advanced users. However, before you feel comfortable with using it, you may want to make sure that you know how to use it properly. This requires only a few steps and this course aims at assisting you to make them.",programming,"This course will help you download and install the Anaconda Distribution, as well as teach you how to set up the included Jupyter environment."
Statistics,statistics,excel,"Statistics is the driving force in any quantitative career. It is the fundamental skill that a data scientist needs in order to understand and design statistical tests and analysis using modern software packages and programming languages. In this course, we start from the very basics and gradually build your statistical thinking. This, in turn, enables you to understand the more complex analyses carried out later in the program.",data analysis,"Covering descriptive and inferential statistics, as well as hypothesis testing techniques and exercises, statistics puts the “scientist” in data scientist."
Mathematics,mathematics,theory,"Mathematics is a broad subject, however, there are 2 specific subfields that are heavily employed in data science – calculus and linear algebra. This is precisely what the 365 Data Science program covers! In order to thrive in the data science field, you must first have all the numerical tools that will help you understand even the most complicated machine learning algorithms.",mathematics,Teaching you the linear algebra you need for the true data science expertise of developing powerful machine learning models.
Introduction to Excel,introduction-to-microsoft-excel,excel,"Microsoft Excel is the #1 productivity software in the world. A huge amount of data comes in a spreadsheet format, so an analyst needs Excel in their arsenal. This course will teach you all the Excel skills you need to perform multi-layered calculations, create charts, manipulate data, look up functions, and more!",data analysis,"Even in data science, smaller datasets are processed quicker in Excel rather than Python, R, or SQL. This course gives you the skills you need to crunch numbers in the number one spreadsheet program."
Probability,probability,theory,"Data science is based on statistics which, in turn, steps on the foundations that probability laid out. This course will help you master the probability theory necessary to think like a data scientist. In addition, you will learn about expected values, combinatorics, Bayesian notion, and probability distributions.",data analysis,"Teaching you the probability theory necessary to think like a data scientist. You will learn about expected values, combinatorics, Bayesian notation, and probability distributions. "
"Starting a Career in Data Science: Project Portfolio, Resume, and Interview Process",starting-a-career-in-data-science-project-portfolio-resume-and-interview-process,theory,"This course provides you with invaluable insights directly from a top-level data scientist with first-hand experience in recruiting skilled individuals. You will learn everything you need in order to get a competitive edge over other job candidates and start a career in data science: how to create your data science project portfolio, build your resume, get an interview through networking, succeed during the phone interview, solve the take-home test, and ace the behavioral and technical questions. The course also offers you resume templates, downloadable materials, helpful infographics, as well as a section on how to optimize your LinkedIn, Github, and Kaggle profiles for recruitment purposes.",career development,"A data scientist’s guide to landing a data science job: portfolio, resume, and interview tips and techniques."
SQL + Tableau,sql-tableau,sql,"This course will give you methods of using SQL and Tableau simultaneously, helping you find hidden value in your data faster than when using them separately.",programming,Combining two expertises for a powerful integration: extract information from multiple databases using Tableau while coding in SQL.
Time Series Analysis with Python,time-series-analysis-in-python,python,"Data Science mainly relies on working with two types of data - cross-sectional and time series. This course will help you master the latter by introducing you to the ARMA, seasonal, integrated, MAX and volatility models, as well as show you how to forecast them into the future.",data analysis,Introducing you to the world of time series and exploring how to utilize Python in order to analyze and model such data. We will also discuss volatility and making forecasts about the future.
Power BI,introduction-to-power-bi,powerbi,"The Power BI Course is designed for students who like to learn by doing. Packed with real-life business scenarios along with quizzes and projects to build, this course will give you the solid understanding required to jump start your career as a Power BI developer, business intelligence analyst, or a multiskilled data scientist. It will not only teach you how to create stunning dashboards but will also introduce you to data modelling and data transformations. You will learn how to write DAX, set up calculated columns and measures, generate roles, and, of course, share your dashboards with your team or clients. Power BI allows you to connect to hundreds of data sources and quickly analyze your data for free.",data visualization,Giving you the skills to create stunning dashboards using all Power BI features. Complete with practical tasks and real-life projects.
Product Management for AI & Data Science,product-management-for-ai-data-science,theory,"This course is designed to teach you the specialized skills needed to manage the development of successful AI products. You'll learn how to identify opportunities for a business to leverage AI and prepare the data needed. In addition, you will grasp the organizational structure of AI and data science teams, how to communicate effectively with stakeholders, and the best methods for managing a team's workflow. After the course, you'll be able to take an idea, evaluate it with potential customers, prototype, strategize, build tests, and iterate on AI and data driven products.",machine learning,This course prepares you for a successful product manager career in the field of data science and AI. You will grasp the full lifecycle of an AI or data science project and learn how to manage teams efficiently.
Git and GitHub,git-and-github,git,"In this course, you will learn the basics of version control for data science with Git. Git is a free and open-source distributed version control system designed to handle projects of different size, speed, and efficiency. Git has a tiny footprint with lightning-fast performance. Not only that, but it’s also great for anyone who wants to be working on code, making extra changes and still be able to go back to an earlier version.",programming,Teaching you the key concepts of version control with Git and GitHub for data scientists.
Deep Learning with TensorFlow,deep-learning-with-tensorflow,python,Machine and deep learning are some of those quantitative analysis skills that differentiate the data scientist from the other members of the team. The field of machine learning is the driving force of artificial intelligence. This course will teach you how to leverage deep learning and neural networks from this powerful tool for the purposes of data science. We will be doing this with TensorFlow.,machine learning,"Building on everything covered in the program to teach you how to develop, implement, and deploy complicated machine and deep learning algorithms (with TensorFlow)."
Deep Learning with TensorFlow 2,deep-learning-with-tensorflow-2-0,python,"Machine and deep learning are some of those quantitative analysis skills that differentiate the data scientist from the other members of the team. Not to mention that the field of machine learning is the driving force of artificial intelligence. This course will teach you how to leverage deep learning and neural networks for the purposes of data science. The technology we employ is TensorFlow 2.0, which is the state-of-the-art deep learning framework.",machine learning,Helping you learn and practice advanced deep learning techniques with TensorFlow 2.0 code and syntax. Complete with new TF2 exercises and projects.
Customer Analytics in Python,customer-analytics-in-python,python,"Customer Analytics in Python is where marketing and data science meet. These are two of the key driving forces that help companies create value and stay on top in today’s fast-paced economy. In addition, this course is packed with knowledge and includes sections on customer and purchase analytics, as well as a deep-learning model, all implemented in Python.",financial analysis,"Introducing you to Customer Analytics with Python. In this course, you will learn the fundamentals of marketing, as well as the practical skills to analyze customer data and predict the purchase behavior of clients."
Web Scraping and API Fundamentals in Python,web-scraping-and-api-fundamentals-in-python,python,"Web Scraping and API Fundamentals in Python offers an introduction to the techniques of data extraction from the web. In this course, you will learn how to use one of the most powerful tools on the Internet – APIs. We will also discuss in depth how to obtain information directly from websites using the Beautiful Soup Python package. There will be a short HTML crash course for those not familiar with it. Finally, we will introduce the Requests-HTML package in order to extract dynamically generated JavaScript content.",programming,"Introducing you to the fundamentals of data extraction from the web using Python. We will learn about APIs, Beautiful Soup and Requests-HTML."
Introduction to Python,introduction-to-python,python,"Python is one of the most widely used programming languages among data scientists. This course will show you the technical advantages it has over other programming languages. You will start working with its modules for scientific computing, and you will begin to understand why these functionalities make Python the preferred choice in finance, econometrics, economics, data science, and machine learning.",programming,Laying the foundations of programming in Python to prepare you for deploying machine and deep learning algorithms later in the training.
Python for Finance,python-for-finance,python,"Python for Finance is the crossing point where programming in Python blends with financial theory. Together, they give you the know-how to apply that theory into practice and real-life scenarios. In a world where individuals and companies are aiming to become more and more autonomous, your ability to combine programming skills with financial data will allow you to create independent analyses. And that competency will give you an edge over your competitors or in your personal investments. To prepare you for these multi-faceted challenges, this course provides the relevant topics in financial theory and their hands-on application in Python.",financial analysis,"This course will take your analytical thinking to the next level by blending programming skills in Python and financial theory, while working with real-world data. "
Machine Learning in Python,machine-learning-in-python,python,"Machine Learning in Python builds upon the statistical knowledge you gained earlier in the program. This course focuses on predictive modelling and enters multidimensional spaces which require an understanding of mathematical methods, transformations, and distributions. We will introduce these concepts, as well as complex means of analysis such as clustering, factoring, Bayesian inference, and decision theory, while also allowing you to exercise your Python programming skills.",programming,"Sharpening your predictive modelling skills to set you apart as a data scientist instead of data analyst covers regressions, classifications, and clustering."
Advanced Microsoft Excel,advanced-microsoft-excel,excel,"This course will teach you in-demand Excel techniques for more sophisticated data manipulation in Excel. Some of these include building nested functions, using new Excel keyboard shortcuts for more efficiency, formatting sheets and charts professionally, and more. You will also learn several hidden Excel tips and tricks that you usually don’t find in textbooks.",financial analysis,"Teaching you how to set up pivot tables and analyze data with filters and calculated fields, as well as advanced Excel tools like function keys, multiple sheets, and circular references."
Convolutional Neural Networks with TensorFlow in Python,convolutional-neural-networks-in-python,python,"This course offers a deep dive into an advanced neural network construction – convolutional neural networks. First, we explain the concept of image kernels, and how it relates to CNNs. Then, you will get familiar with the CNN itself, its building blocks, and what makes this kind of network necessary for computer vision. You’ll apply the theoretical bit to the MNIST example using TensorFlow, and understand how to track and visualize useful metrics using TensorBoard in a dedicated practical section. Later in the course, you’ll be introduced to a handful of techniques to improve the performance of neural networks, and a huge real-world practical project for classifying fashion item pictures. Finally, we will cap it all off with an intriguing look through the history of the most influential CNN architectures.",machine learning,"Introducing you to the fundamentals of convolutional neural networks (CNNs) and computer vision. We will learn about what makes CNNs tick, discuss some effective techniques to improve their performance, and undertake a big practical project."
Data Strategy,data-strategy,theory,"The Data Strategy Course is a truly comprehensive course designed for business owners, business executives, and aspiring or current data practitioners who want to be able to leverage the value of business data. Packed with real-world scenarios, this course will provide context to help you understand why data is one of the most important assets for any business and give you the tools to turn data into insights.",business analytics,Giving you the knowledge to leverage the value of data to position any business for success. Complete with a myriad of real-life scenarios and case studies.
Fashion Analytics with Tableau,fashion-analytics-tableau,tableau,"Fashion analytics with Tableau is all about the exciting world of fashion, as well as the vastly expanding sector of online retail. Data-driven decision-making is crucial in this competitive world, so companies need to make smart decisions and integrate advanced statistical solutions to gain an edge in the market. This course explores a variety of topics in data analytics for fashion, and features a practical use case, where you will analyze fashion retail data and build your own story report in Tableau.  ",data analysis,"This hands-on course is your entry into the world of data-driven fashion analytics. Discover the challenges and opportunities of employing advanced analytics solutions, and learn how the fashion industry giants are leveraging data to improve margins.  "
Dates and Times in Python,dates-times-python,python,"Dates and Times in Python is the course that will take your data analyst skillset to the next level!
The ability to adjust dates and time according to a specific territory is crucial across numerous businesses and industries. In this course, you will master handling both date values that depend on the structure of the different calendars used across the globe, and time values that reflect time-saving regulations, clock changes, and time conversions. You will also discover how to keep track of historical data, use specific date- and time-related libraries, classes, methods, and conversion techniques in Python. ",data processing,Providing you with the skillset required for manipulating date and time values in Python. Includes a practical example where you will work with a sales company’s dataset to put your theoretical knowledge into action. 
SQL for Data Science Interviews,sql-for-data-science-interviews,sql,"This practical course helps you ace the SQL part of any data science job interview and get hired. The 5-step framework and 10 mock interviews will prepare you to tackle any SQL interview question with ease. You will find out what interviewers want to hear from you, how to master your interaction with them, and how to answer even the challenging follow-up questions. By the end of the course, you will have done this at least 10 times. So, when the real interview comes, it will feel like just another practice round. ",career development,"A hands-on course covering SQL setup and fundamental components, combined with a guided walkthrough of 10 mock interviews with real-world SQL interview questions and expert tips on how to pass them successfully. "
Data Literacy,data-literacy,theory,"Data literacy involves articulating a problem that can potentially be solved using data. Most importantly, it is about interpreting the results of an analysis and making decisions based on the gained insights. A data literate person would have the ability to understand and check the adequacy of the data involved. Ultimately, you should be able to read and derive valuable information from data. We will cover all these topics extensively in the course.",data analysis,"In this course, we will talk about the importance of data literacy. 
Understanding the language of data allows you to use and interpret data effectively. If you want a successful career path, you will most likely need these skills."
AI Applications for Business Success,ai-applications-for-business,theory,"AI isn’t just a fancy concept that powers self-driving vehicles, robots, and high-tech companies. Most organizations – regardless of their size and industry – can benefit from the application of artificial intelligence. In this course, you’ll get an overview of business analytics and find out how to define SMART goals and conduct SWOT analysis. You’ll go through the challenges and opportunities of supply chain analytics to then determine the business problem we’ll tackle throughout the course. ",machine learning,This course will introduce you to the challenges and opportunities of supply chain analytics to then show you how to leverage the power of AI to meet your business goals.
Linear Algebra and Feature Selection,linear-algebra-and-feature-selection,python,"Linear Algebra and Feature Selection is the course that provides you with the knowledge you need to grasp the math processes behind the machine learning algorithms for dimensionality reduction. Mastering the fundamentals of linear algebra will help you develop in-demand practical skills, such as building your own algorithms or choosing the most appropriate existing ones for a specific task you need to solve. The techniques you will learn - feature extraction and feature selection will enable you to handle high-dimensional data efficiently. In addition, you will get familiar with the mathematical concepts behind PCA and LDA, and practice applying these types of analysis using the corresponding Python libraries. ",machine learning,Providing you with the theoretical and practical foundations you need to apply machine learning techniques with confidence and understanding.
Machine Learning with Naive Bayes,machine-learning-with-naive-bayes,python,"Knowledge on various machine learning algorithms is essential for machine learning enthusiasts and specialists. This course focuses on a specific type of classifier – the Naive Bayes one. It is famous for being a quick learner and a real-time problem solver. Not only will you learn the theoretical foundations behind the Bayesian approach, but you will also get the chance to solve a real-life problem using scikit-learn’s Naive Bayes algorithms.",machine learning,Introducing you to the topics of Bayesian statistics and Naive Bayes algorithms in Python’s scikit-learn library.
Machine Learning in Excel,machine-learning-in-excel,excel,"This course focuses on predictive modeling and enters multidimensional spaces that require an understanding of mathematical methods, transformations, and distributions. We will introduce you to all these concepts, gradually blending them into complex means of analysis such as k-means clustering and decision trees, while helping you hone your Excel skills.",machine learning,"Introducing you to the essentials of machine learning in Excel with beginner-friendly, hands-on projects. You will learn how to use linear and logistic regression, k-means clustering, decision trees, and Azure ML Studio."
Machine Learning with Support Vector Machines,machine-learning-with-support-vector-machines,python,"This course is all about Support Vector Machines – one of the most versatile and widely used techniques in supervised learning. They can be applied to both classification and regression tasks and thanks to kernels, fit different data distributions at a reduced computational cost . In this course, you’ll grasp the theory behind support vector machines andhow to implement and optimize a Support Vector Classifier in Python using sk-learn.",machine learning,Teaching you how to successfully apply machine learning in a classification setting with support vector machines in Python. The course also features practical sections on multiclass extension and cross-validation using sk-learn.
A/B Testing in Python,ab-testing-in-python,python,"The A/B Testing in Python course gives you a rare opportunity to learn a skill that’s invaluable to all data scientists. Your instructor, Anastasia Kuznetsova, is a proven expert who works in one of the largest music streaming platforms in the world. In this course, she touches on several practical examples that not only allow you to learn the mechanics of A/B testing but also reinforce your understanding of how these concepts are applied in a real-life working environment. ",a/b testing,A world-class professional teaches you how to perform A/B test experiments to create real business value and improve product experience.
Machine Learning with Decision Trees and Random Forests,machine-learning-with-decision-trees-and-random-forests,python,"Decision trees and random forests are tools that every data scientist or machine learning practitioner should be familiar with. Famous for producing good predictors, these methods are also indispensable when it comes to understanding the problem at hand, as well as visualizing and communicating your results. That’s why we have prepared this course for you. The first part features a thorough explanation of the workings of decision trees, how to code and visualize them with sklearn, and the pros and cons you should consider. Then we will build on the concept of a single decision tree to produce the random forest algorithm. Finally, we will cap it all off with a practical example implementing both decision trees and random forests in Python to predict a person’s income based on census data.",machine learning,Guiding you through the fundamentals of decision trees and random forests. You will learn how the trees are constructed both theoretically and in practice using sklearn.
Machine Learning with K-Nearest Neighbors,machine-learning-with-k-nearest-neighbors,python,"Practical knowledge of various machine learning algorithms is essential for machine learning enthusiasts and experts alike. In this course, we focus extensively on one of the most intuitive and easy-to-implement ML algorithms out there – K-nearest neighbors, or KNN for short. Step by step, we will first lay the foundations and expand your mathematical toolbox. Then, you will progress to coding and using Python’s scikit-learn library to solve a randomly generated classification problem. Finally, you will apply KNN to a couple of regression tasks. In other words – you will learn all the subtleties that should be considered when applying the KNN algorithm in your future practice. ",machine learning,Introducing you to the exciting topic of machine learning with the K-nearest neighbors algorithm using Python’s scikit-learn library.
Machine Learning with Ridge and Lasso Regression,machine-learning-with-ridge-and-lasso-regression,python,"Ridge and lasso regressions are machine learning algorithms with an integrated regularization functionality. Built upon the essentials of linear regression with an additional penalty term, they serve as a calibrating tool for preventing overfitting. In this hands-on course, you will learn how to apply ridge and lasso regression in Python and determine which of the two is the best choice for your particular dataset.",machine learning,Demonstrating how you can use ridge and lasso regression to apply regularization in machine learning. This course will improve your understanding of regression analysis so you can take your data scientist abilities to the next level. 
Data-Driven Business Growth,data-driven-business-growth,google sheets,"The growth mindset requires you to adopt a 3-step process: devise clear hypotheses, explore and rank said hypotheses, test fast and learn faster. In this course, Tina and Davis will take you on an amazing and rewarding journey. Structured in a clear and easy-to-follow way, the course describes each of the 3 levels of data maturity, provides related real-world case studies, and advises you on how to get to the next stage. You will also learn how to ask for more funding from key decision-makers. Data-driven Growth is suitable for individuals working in small, mid-sized, and large companies. It can be highly beneficial for data science managers, business executives, data scientists, and data analysts. The skills you will gain include Data-driven decision-making, Growth mindset, Digital marketing analytics, E-commerce analytics, A/B testing and Spreadsheet analysis.",data analysis,"This course will teach you how to adopt a growth mindset in your organization, unlock the power of data-driven decision-making, and create real business value. You will learn from a data science manager and data scientist with experience working in one of the largest tech companies in the world."
Corporate Strategy,corporate-strategy,theory,"Developing a corporate and business strategy is key to success. It helps align the efforts of decision makers, middle management, and other employees, making sure they work in the same direction In this Business and Corporate Strategy course, you will learn how to a create a clear outline of an organization’s goals and plan to achieve them. It covers several key topics: corporate strategy vs. business strategy, the industry life cycle model (describing the introduction, growth, maturity, and decline stages), Michael Porter’s five forces model, game theory, the concept of competitive advantage, the types of growth strategies (organic vs. inorganic, horizontal vs. vertical, etc.), and so on. By the end of the lessons, you will be able to distinguish between businesses that are well-positioned from a strategic perspective and those with an incoherent corporate and business strategy. This course does not require an MBA or a business degree. It teaches you the fundamental skills you need to become a successful executive. ",business fundamentals,"A foundational business course that teaches you how to build a winning corporate strategy. It helps you answer two key questions, “Where do you want to compete?” and “How do you want to compete?”"
Marketing Strategy,marketing-strategy,theory,"Marketing is the engine that drives a company’s sales. It is among the crucial activities inside an organization and a key determinant of its success. This course on strategic marketing covers everything from the fundamentals of modern marketing theory to  key marketing processes and advanced approaches. You will learn how to create a winning long-term marketing strategy, set up an effective marketing mix, and much more.. 
This course is suitable for every aspiring marketing strategist, as well as for business executives who want to understand the marketing fundamentals. The curriculum contains real-life examples that help understand the concepts and their application in practice.",business fundamentals,The Marketing Strategy course will teach how to understand the key marketing processes and use them to grow your business. It answers two essential questions: “How do we create value for customers?” and “How do we communicate the value we create?”
Negotiation,negotiation,theory,"The most common mistake when walking into negotiations is to lack proper preparation and a clear roadmap. In the business context, this could lead to harmful outcomes, including destroying the relationship and losing money or assets. This course will teach you how to handle negotiations effectively. You will learn how to determine a BATNA, or best alternative to a negotiated agreement, set a reservation point, and make the best use of the bargaining range. By the end of the negotiation training, you will be able to assess the other party and expand the value for both sides. We will discuss topics like building trust and repairing it when it’s broken, as well as handling aggressive and unfair negotiators.",business fundamentals,"The Negotiation course is designed to give you the upper hand in any type of negotiation. It covers the phases step-by-step, explaining the most appropriate actions in every situation."
Management,management,theory,"The Management course will teach you how to become an effective business leader. A successful manager is someone who can get the best results from their team. Every person is different and requires an individual approach, but the core principles in motivating and empowering people across your organization are uniform. The Management course touches on key managerial functions, such as planning, organization, staffing, and leading. Contrary to what many people believe, leaders and managers are cultivated, not born. This course will walk you through the process from zero to one..",business fundamentals,This course will help you become an effective manager of your employees. It answers two key questions: “How do we motivate employees?” and “How do we retain talent in the long run?”
Persuasion and Influence,persuasion-and-influence,theory,"This Persuasion course covers the core principles of influence documented by prof. Robert Cialdini in his famous book “Influence: Science and Practice.” It goes into detail about the six core principles of influence we can use to impact most people’s decisions and behavior. According to prof. Robert Cialdini, these principles have been ingrained in the subconscious part of our minds and are our genetical heritage of humanity. Together, we will learn why recognizing and considering the principles of reciprocation, consistency, social proof, liking, scarcity, and authority can play a significant role in communication in a business and social environment.",business fundamentals,"Learn the key principles of influence that will help you persuade and impact employees, managers, and decision makers"
Excel for Project Management,excel-for-project-management,theory,"The course teaches you how to create and maintain some of the key project artifacts. The most convenient way to keep a good grip on important events is with the help of tables. So, it is only logical to use the most popular program for organizing and manipulating data for that purpose – Microsoft Excel. In this course, we cover the key aspects of using Excel for project management. You will learn how to create the five most important project management documents — work trackers, logs (from project diary to RAIDD), risk logs, project schedules and Gantt charts, and budgets. ",business fundamentals,"Excel is the most popular productivity software worldwide. In this course, you will learn how to use it for the purposes of project management."
Agile and Scrum Project Management,agile-and-scrum-project-management,theory,"This course presents and compares some of the most popular project management frameworks. According to the traditional approach, all projects follow the conventional lifecycle of initiation, planning, execution, monitoring and control, and closure. The first part of the course focuses on one example of such type of approach — the so-called Waterfall framework. According to it, activities have a defined start, end, and order and changes to the plan during the execution stage should be avoided. There are, however, certain types of initiatives containing uncertainties that are difficult to structure in a clear manner. Such projects have fewer hard dependencies between deliverables and the best way to order activities is not always obvious beforehand.  The next part of the course covers the Agile framework which is suitable for such situations. It is much more flexible than the traditional approach, allowing for changes and uncertainties during the execution phase. Based on Agile principles, SCRUM is a framework for managing complex projects, such as software development. Next, the course covers in detail this framework. It concludes with a comparison of the Agile and Waterfall project management concepts.",business fundamentals,Learn the modern project management frameworks and concepts applied in complex tech and software development projects.
Project Management,project-management,theory,"This Project Management course will teach you how to plan, execute, and deliver projects successfully. As they say, operations keep the lights on, strategy is the light at the end of the tunnel, but project management is the train engine that moves the organization forward. Even if you don’t want to become a professional, having a basic project management training will be useful. Everyone in the corporate world works on projects with set deadlines and defined deliverables. Knowing the key principles and concepts of project management can help you navigate such situations better. ",business fundamentals,Giving you the knowledge to develop a project from zero to one
Blockchain for Business,blockchain-for-business,theory,"There is a theory that approximately every 20 years, we face a social, cultural, or technological revolution that brings something “qualitatively different,” (McKinsey). If that’s true, what is the next big thing? The simple answer – Blockchain. Some bold statements have been made about it, including that it will be “the most disruptive tech in decades” (ComputerWorld), “a technological tour de force” (Bill Gates), and that “it will be everywhere, and the world will have to readjust” (John McAfee). And for the most part, those claims turned out to be true. Blockchain is a highly disruptive technology with a huge impact on the world, comparable to that of the internet. If you don’t want to be left out of the next digital revolution, join us on an exciting journey. Learn everything about blockchain — from the fundamentals to its potential to change the world as we know it. The blockchain technology can impact pretty much any activity involving transactions, transfer of value, property rights, and information exchanges. If you want to make the most of the amazing opportunities it creates, you’d better start learning. Upon completing the course, you will earn a certification proving your knowledge about blockchain.",business fundamentals,The course that will help you understand the business value of blockchain technology and how it will revolutionize several industries.
How to Think Like a Data Scientist to Become One,how-to-think-like-a-data-scientist-to-become-one,theory,"Data science is unique for its combination of several different knowledge bases and skillsets. To become a successful data scientist, you need such skills as critical thinking, problem-solving, programming, engineering, math, statistics, business acumen, communication, and project management. Bootcamps and university degrees certainly don’t teach or prepare you to utilize all these skills together. To be a great data scientist, you need to wear multiple hats and learn how to think like a product manager, a scientist, an engineer, or a businessperson—which is why becoming a data scientist is challenging. Think of this course as your opportunity to gain experience and advice from someone who has been on the job for several years and wants to spend time with you and share what he has learned as a senior data scientist.",career development,Develop your mindset and learn how to think like a senior data scientist. This course is a perfect opportunity for aspiring data scientists who wish to learn from the advice of a seasoned data science professional.
